id,name,party,partyLabel,votes,election,electionLabel,ranking
Q336497,James Bryce,Q622441,Liberal Party (UK),4548,Q3397257,1885 general election,1
,Colin McKenzie,Q9626,Conservative Party (UK),1455,Q3397257,1885 general election,2
Q336497,James Bryce,Q622441,Liberal Party (UK),3513,Q7888018,1892 general election,1
,James Samuel G. McCullagh,Q1754707,Liberal Unionist Party,1768,Q7888018,1892 general election,2
Q5723499,Henry Hyde Champion,Q7438012,Scottish United Trades Councils Labour Party,991,Q7888018,1892 general election,3
Q336497,James Bryce,Q622441,Liberal Party (UK),3985,Q7888019,1895 general election,1
,David Stewart,Q1754707,Liberal Unionist Party,3121,Q7888019,1895 general election,2
Q336497,James Bryce,Q622441,Liberal Party (UK),4238,Q918358,1900 general election,1
,William Charles Smith,Q1754707,Liberal Unionist Party,3830,Q918358,1900 general election,2
Q336497,James Bryce,Q622441,Liberal Party (UK),6780,Q3076606,1906 general election,1
Q8009770,William George Black,Q1754707,Liberal Unionist Party,2332,Q3076606,1906 general election,2
Q5536998,George Esslemont,Q622441,Liberal Party (UK),3779,Q16821086,1907 by-election,1
Q5614408,Ronald McNeill,Q9626,Conservative Party (UK),3412,Q16821086,1907 by-election,2
Q12348013,Fred Bramley,Q327591,Independent Labour,1740,Q16821086,1907 by-election,3
Q5536998,George Esslemont,Q622441,Liberal Party (UK),6749,Q3075752,January 1910 general election,1
Q5614408,Ronald McNeill,Q9626,Unionist Party (UK),4433,Q3075752,January 1910 general election,2
Q5536998,George Esslemont,Q622441,Liberal Party (UK),5862,Q3076583,December 1910 general election,1
,William C Smith,Q1754707,Liberal Unionist Party,3997,Q3076583,December 1910 general election,2
Q6233423,John Fleming,Q7437849,Liberal Party (Scotland),3283,Q16157594,1917 by-election,1
Q24205835,James Watson,Q327591,Independent (politician),1507,Q16157594,1917 by-election,2
Q5498549,Frederick Pethick-Lawrence,Q327591,Independent (politician),333,Q16157594,1917 by-election,3
Q7526794,Frederick Thomson,Q7886824,Unionist Party (Scotland),10625,Q3042701,1918 general election,1
Q6233423,John Fleming,Q622441,Liberal Party (UK),3535,Q3042701,1918 general election,2
Q24205835,James Watson,Q327591,Independent (politician),2868,Q3042701,1918 general election,3
Q7526794,Frederick Thomson,Q7886824,Unionist Party (Scotland),13208,Q3084303,1922 general election,1
Q5080610,Charles Mallet,Q622441,Liberal Party (UK),9573,Q3084303,1922 general election,2
Q7526794,Frederick Thomson,Q7886824,Unionist Party (Scotland),11258,Q3084294,1923 general election,1
Q15461373,John Paton,Q9630,Labour Party (UK),6911,Q3084294,1923 general election,2
Q5080610,Charles Mallet,Q622441,Liberal Party (UK),5641,Q3084294,1923 general election,3
Q7526794,Frederick Thomson,Q7886824,Unionist Party (Scotland),16092,Q2632991,1924 general election,1
Q5536395,George Archibald,Q9630,Labour Party (UK),10699,Q2632991,1924 general election,2
Q7526794,Frederick Thomson,Q7886824,Unionist Party (Scotland),21548,Q517639,1929 general election,1
Q16022911,William Martin,Q9630,Labour Party (UK),13868,Q517639,1929 general election,2
Q7526794,Frederick Thomson,Q7886824,Unionist Party (Scotland),33988,Q918375,1931 general election,1
,George Catto,Q9630,Labour Party (UK),6627,Q918375,1931 general election,2
Q16078875,Douglas Thomson,Q7886824,Unionist Party (Scotland),20925,Q16157603,1935 by-election,1
Q23688788,Joseph Forbes Duncan,Q9630,Labour Party (UK),10760,Q16157603,1935 by-election,2
Q16078875,Douglas Thomson,Q7886824,Unionist Party (Scotland),25270,Q918378,1935 general election,1
,George Rettie McIntosh,Q9630,Labour Party (UK),11817,Q918378,1935 general election,2
Q16078875,Douglas Thomson,Q7886824,Unionist Party (Scotland),19214,Q918397,1945 general election,1
Q23621581,William McLaine,Q9630,Labour Party (UK),17398,Q918397,1945 general election,2
,James Logie Milne,Q622441,Liberal Party (UK),4501,Q918397,1945 general election,3
